,Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
5,2019-09,Adams,State FDK,77.0,1.0,1.0,49.0,29.0,1.0,79.0,79.0,79.0
6,2019-09,Adams,1,73.0,5.0,5.0,42.0,40.0,0.0,82.0,82.0,82.0
7,2019-09,Adams,2,60.0,4.0,6.0,36.0,34.0,0.0,70.0,70.0,70.0
8,2019-09,Adams,3,75.0,5.0,9.0,44.0,44.0,0.0,88.0,88.0,88.0
9,2019-09,Adams,4,74.0,3.0,16.0,44.0,47.0,0.0,91.0,91.0,91.0
10,2019-09,Adams,5,68.0,5.0,18.0,45.0,44.0,0.0,89.0,89.0,89.0
6,2019-09,Aki Kurose,4 5 6,130.0,57.0,38.0,103.0,105.0,0.0,208.0,208.0,208.0
7,2019-09,Aki Kurose,7,164.0,46.0,39.0,127.0,111.0,0.0,238.0,238.0,238.0
8,2019-09,Aki Kurose,8,136.0,37.0,33.0,109.0,90.0,0.0,199.0,199.0,199.0
5,2019-09,Alki,State FDK,55.0,0.0,2.0,27.0,30.0,0.0,57.0,57.0,57.0
6,2019-09,Alki,1,43.0,5.0,5.0,31.0,22.0,0.0,53.0,53.0,53.0
7,2019-09,Alki,2,65.0,3.0,3.0,31.0,40.0,0.0,71.0,71.0,71.0
8,2019-09,Alki,3,42.0,2.0,13.0,33.0,24.0,0.0,57.0,57.0,57.0
9,2019-09,Alki,4,42.0,1.0,6.0,24.0,25.0,0.0,49.0,49.0,49.0
10,2019-09,Alki,5,54.0,2.0,13.0,41.0,28.0,0.0,69.0,69.0,69.0
4,2019-09,Arbor Heights,Preschool,27.0,0.0,3.0,10.0,20.0,0.0,30.0,0.0,0.0
5,2019-09,Arbor Heights,State FDK,81.0,3.0,8.0,48.0,43.0,1.0,92.0,92.0,92.0
6,2019-09,Arbor Heights,1,92.0,9.0,13.0,52.0,60.0,0.0,112.0,112.0,112.0
7,2019-09,Arbor Heights,2,70.0,7.0,20.0,49.0,47.0,0.0,96.0,96.0,96.0
8,2019-09,Arbor Heights,3,80.0,4.0,14.0,52.0,46.0,0.0,98.0,98.0,98.0
9,2019-09,Arbor Heights,4,60.0,6.0,17.0,40.0,41.0,0.0,81.0,81.0,81.0
10,2019-09,Arbor Heights,5,65.0,8.0,22.0,53.0,37.0,0.0,90.0,90.0,90.0
4,2019-09,B.F. Day,Preschool,25.0,0.0,10.0,24.0,11.0,0.0,35.0,0.0,0.0
5,2019-09,B.F. Day,State FDK,88.0,2.0,6.0,53.0,43.0,0.0,96.0,96.0,96.0
6,2019-09,B.F. Day,1,67.0,3.0,6.0,39.0,36.0,1.0,76.0,76.0,76.0
7,2019-09,B.F. Day,2,33.0,3.0,10.0,27.0,19.0,0.0,46.0,46.0,46.0
8,2019-09,B.F. Day,3,43.0,6.0,11.0,33.0,25.0,0.0,58.0,58.0,58.0
9,2019-09,B.F. Day,4,27.0,3.0,8.0,21.0,17.0,0.0,38.0,38.0,38.0
10,2019-09,B.F. Day,5,46.0,1.0,12.0,27.0,31.0,0.0,58.0,58.0,58.0
6,2019-09,Ballard,9,354.0,4.0,49.0,217.0,188.0,1.0,406.0,406.0,405.31
